review_id,product,original_text,is_hinglish,sentiment,sentiment_score,complaint_types,translated_key_phrases
rev_0015,Alpha Growth Mutual Fund,Kotak's Alpha Growth Mutual Fund gave me good returns this quarter.,True,NEUTRAL,0.5,None,Kotak's Alpha Growth Mutual Fund gave me good returns this quarter.
rev_0016,EasyInvest Savings Account,Avoid EasyInvest Savings Account from HDFC! They have hidden charges.,False,NEUTRAL,0.5,Hidden Charges,Avoid EasyInvest Savings Account from HDFC! They have hidden charges. [hidden charge]
rev_0017,EasyInvest Savings Account,Terrible experience with EasyInvest Savings Account. Difficult Claims.,False,NEUTRAL,0.5,None,Terrible experience with EasyInvest Savings Account. Difficult Claims.
rev_0018,EasyInvest Savings Account,Avoid EasyInvest Savings Account from ICICI! They have long processing time.,False,NEUTRAL,0.5,None,Avoid EasyInvest Savings Account from ICICI! They have long processing time.
rev_0019,WealthBuilder Pension Plan,Axis's WealthBuilder Pension Plan gave me good returns this quarter.,False,NEUTRAL,0.5,None,Axis's WealthBuilder Pension Plan gave me good returns this quarter.
rev_0020,Alpha Growth Mutual Fund,Kotak misled me about Alpha Growth Mutual Fund. Now facing bad service.,True,NEUTRAL,0.5,Service Issues,Kotak misled me about Alpha Growth Mutual Fund. Now facing bad service. [bad service]
rev_0021,SecureLife Insurance Policy,Terrible experience with SecureLife Insurance Policy. Hidden Charges.,True,NEUTRAL,0.5,Hidden Charges,Terrible experience with SecureLife Insurance Policy. Hidden Charges. [hidden charge]
rev_0022,WealthBuilder Pension Plan,Terrible experience with WealthBuilder Pension Plan. Bad Service.,True,NEUTRAL,0.5,Service Issues,Terrible experience with WealthBuilder Pension Plan. Bad Service. [bad service]
rev_0023,MaxReturns Fixed Deposit,MaxReturns Fixed Deposit from SBI is okay. Nothing special.,True,NEUTRAL,0.5,None,MaxReturns Fixed Deposit from SBI is okay. Nothing special.
rev_0024,Alpha Growth Mutual Fund,Alpha Growth Mutual Fund from Kotak is okay. Nothing special.,True,NEUTRAL,0.5,None,Alpha Growth Mutual Fund from Kotak is okay. Nothing special.
rev_0025,MaxReturns Fixed Deposit,MaxReturns Fixed Deposit from Kotak is okay. Nothing special.,True,NEUTRAL,0.5,None,MaxReturns Fixed Deposit from Kotak is okay. Nothing special.
rev_0026,MaxReturns Fixed Deposit,Terrible experience with MaxReturns Fixed Deposit. Poor Returns.,False,NEUTRAL,0.5,Poor Returns,Terrible experience with MaxReturns Fixed Deposit. Poor Returns.
rev_0027,WealthBuilder Pension Plan,Happy with my WealthBuilder Pension Plan from ICICI. Returns are as promised.,True,NEUTRAL,0.5,None,Happy with my WealthBuilder Pension Plan from ICICI. Returns are as promised.
rev_0028,WealthBuilder Pension Plan,Happy with my WealthBuilder Pension Plan from ICICI. Returns are as promised.,True,NEUTRAL,0.5,None,Happy with my WealthBuilder Pension Plan from ICICI. Returns are as promised.
rev_0029,EasyInvest Savings Account,ICICI misled me about EasyInvest Savings Account. Now facing bad service.,True,NEUTRAL,0.5,Service Issues,ICICI misled me about EasyInvest Savings Account. Now facing bad service. [bad service]
rev_0030,Alpha Growth Mutual Fund,Happy with my Alpha Growth Mutual Fund from Axis. Returns are as promised.,True,NEUTRAL,0.5,None,Happy with my Alpha Growth Mutual Fund from Axis. Returns are as promised.
rev_0031,EasyInvest Savings Account,Kotak misled me about EasyInvest Savings Account. Now facing agent misconduct.,True,NEUTRAL,0.5,None,Kotak misled me about EasyInvest Savings Account. Now facing agent misconduct.
rev_0032,EasyInvest Savings Account,Kotak misled me about EasyInvest Savings Account. Now facing agent misconduct.,True,NEUTRAL,0.5,None,Kotak misled me about EasyInvest Savings Account. Now facing agent misconduct.
rev_0033,Alpha Growth Mutual Fund,Alpha Growth Mutual Fund from ICICI is okay. Nothing special.,True,NEUTRAL,0.5,None,Alpha Growth Mutual Fund from ICICI is okay. Nothing special.
rev_0034,EasyInvest Savings Account,No complaints about EasyInvest Savings Account. Service was excellent.,True,NEUTRAL,0.5,None,No complaints about EasyInvest Savings Account. Service was excellent.
rev_0035,SecureLife Insurance Policy,Terrible experience with SecureLife Insurance Policy. Hidden Charges.,True,NEUTRAL,0.5,Hidden Charges,Terrible experience with SecureLife Insurance Policy. Hidden Charges. [hidden charge]
rev_0036,EasyInvest Savings Account,Avoid EasyInvest Savings Account from HDFC! They have misleading information.,False,NEUTRAL,0.5,None,Avoid EasyInvest Savings Account from HDFC! They have misleading information.
rev_0037,WealthBuilder Pension Plan,WealthBuilder Pension Plan from HDFC is okay. Nothing special.,True,NEUTRAL,0.5,None,WealthBuilder Pension Plan from HDFC is okay. Nothing special.
rev_0038,WealthBuilder Pension Plan,Axis misled me about WealthBuilder Pension Plan. Now facing agent misconduct.,False,NEUTRAL,0.5,None,Axis misled me about WealthBuilder Pension Plan. Now facing agent misconduct.
rev_0039,MaxReturns Fixed Deposit,HDFC misled me about MaxReturns Fixed Deposit. Now facing agent misconduct.,False,NEUTRAL,0.5,None,HDFC misled me about MaxReturns Fixed Deposit. Now facing agent misconduct.
rev_0040,EasyInvest Savings Account,EasyInvest Savings Account from HDFC is okay. Nothing special.,True,NEUTRAL,0.5,None,EasyInvest Savings Account from HDFC is okay. Nothing special.
rev_0041,MaxReturns Fixed Deposit,SBI misled me about MaxReturns Fixed Deposit. Now facing long processing time.,False,NEUTRAL,0.5,None,SBI misled me about MaxReturns Fixed Deposit. Now facing long processing time.
rev_0042,Alpha Growth Mutual Fund,Avoid Alpha Growth Mutual Fund from Axis! They have long processing time.,False,NEUTRAL,0.5,None,Avoid Alpha Growth Mutual Fund from Axis! They have long processing time.
rev_0043,EasyInvest Savings Account,HDFC's EasyInvest Savings Account gave me good returns this quarter.,False,NEUTRAL,0.5,None,HDFC's EasyInvest Savings Account gave me good returns this quarter.
rev_0044,WealthBuilder Pension Plan,ICICI misled me about WealthBuilder Pension Plan. Now facing long processing time.,False,NEUTRAL,0.5,None,ICICI misled me about WealthBuilder Pension Plan. Now facing long processing time.
rev_0045,EasyInvest Savings Account,EasyInvest Savings Account from ICICI is okay. Nothing special.,True,NEUTRAL,0.5,None,EasyInvest Savings Account from ICICI is okay. Nothing special.
rev_0046,EasyInvest Savings Account,Axis's EasyInvest Savings Account gave me good returns this quarter.,False,NEUTRAL,0.5,None,Axis's EasyInvest Savings Account gave me good returns this quarter.
rev_0047,Alpha Growth Mutual Fund,"Mixed feelings about Alpha Growth Mutual Fund. Some good, some bad.",False,NEUTRAL,0.5,None,"Mixed feelings about Alpha Growth Mutual Fund. Some good, some bad."
rev_0048,MaxReturns Fixed Deposit,HDFC's MaxReturns Fixed Deposit gave me good returns this quarter.,False,NEUTRAL,0.5,None,HDFC's MaxReturns Fixed Deposit gave me good returns this quarter.
rev_0049,EasyInvest Savings Account,Axis's EasyInvest Savings Account gave me good returns this quarter.,False,NEUTRAL,0.5,None,Axis's EasyInvest Savings Account gave me good returns this quarter.
rev_0050,EasyInvest Savings Account,Axis misled me about EasyInvest Savings Account. Now facing agent misconduct.,False,NEUTRAL,0.5,None,Axis misled me about EasyInvest Savings Account. Now facing agent misconduct.
rev_0051,EasyInvest Savings Account,Kotak misled me about EasyInvest Savings Account. Now facing long processing time.,True,NEUTRAL,0.5,None,Kotak misled me about EasyInvest Savings Account. Now facing long processing time.
rev_0052,EasyInvest Savings Account,Not sure about EasyInvest Savings Account. Need to wait and watch.,True,NEUTRAL,0.5,None,Not sure about EasyInvest Savings Account. Need to wait and watch.
rev_0053,Alpha Growth Mutual Fund,Axis's Alpha Growth Mutual Fund gave me good returns this quarter.,False,NEUTRAL,0.5,None,Axis's Alpha Growth Mutual Fund gave me good returns this quarter.
rev_0054,Alpha Growth Mutual Fund,Happy with my Alpha Growth Mutual Fund from Kotak. Returns are as promised.,True,NEUTRAL,0.5,None,Happy with my Alpha Growth Mutual Fund from Kotak. Returns are as promised.
rev_0055,WealthBuilder Pension Plan,WealthBuilder Pension Plan from SBI is okay. Nothing special.,True,NEUTRAL,0.5,None,WealthBuilder Pension Plan from SBI is okay. Nothing special.
rev_0056,MaxReturns Fixed Deposit,SBI misled me about MaxReturns Fixed Deposit. Now facing poor returns.,False,NEUTRAL,0.5,Poor Returns,SBI misled me about MaxReturns Fixed Deposit. Now facing poor returns.
rev_0057,Alpha Growth Mutual Fund,No complaints about Alpha Growth Mutual Fund. Service was excellent.,True,NEUTRAL,0.5,None,No complaints about Alpha Growth Mutual Fund. Service was excellent.
rev_0058,WealthBuilder Pension Plan,Terrible experience with WealthBuilder Pension Plan. Poor Returns.,False,NEUTRAL,0.5,Poor Returns,Terrible experience with WealthBuilder Pension Plan. Poor Returns.
rev_0059,WealthBuilder Pension Plan,Happy with my WealthBuilder Pension Plan from Axis. Returns are as promised.,True,NEUTRAL,0.5,None,Happy with my WealthBuilder Pension Plan from Axis. Returns are as promised.
rev_0060,EasyInvest Savings Account,Terrible experience with EasyInvest Savings Account. Poor Returns.,False,NEUTRAL,0.5,Poor Returns,Terrible experience with EasyInvest Savings Account. Poor Returns.
rev_0061,SecureLife Insurance Policy,Terrible experience with SecureLife Insurance Policy. Hidden Charges.,True,NEUTRAL,0.5,Hidden Charges,Terrible experience with SecureLife Insurance Policy. Hidden Charges. [hidden charge]
rev_0062,EasyInvest Savings Account,Happy with my EasyInvest Savings Account from ICICI. Returns are as promised.,True,NEUTRAL,0.5,None,Happy with my EasyInvest Savings Account from ICICI. Returns are as promised.
rev_0063,Alpha Growth Mutual Fund,Terrible experience with Alpha Growth Mutual Fund. Long Processing Time.,False,NEUTRAL,0.5,None,Terrible experience with Alpha Growth Mutual Fund. Long Processing Time.
rev_0064,SecureLife Insurance Policy,Avoid SecureLife Insurance Policy from ICICI! They have hidden charges.,True,NEUTRAL,0.5,Hidden Charges,Avoid SecureLife Insurance Policy from ICICI! They have hidden charges. [hidden charge]
rev_0065,MaxReturns Fixed Deposit,Axis's MaxReturns Fixed Deposit gave me good returns this quarter.,False,NEUTRAL,0.5,None,Axis's MaxReturns Fixed Deposit gave me good returns this quarter.
rev_0066,EasyInvest Savings Account,ICICI misled me about EasyInvest Savings Account. Now facing bad service.,True,NEUTRAL,0.5,Service Issues,ICICI misled me about EasyInvest Savings Account. Now facing bad service. [bad service]
rev_0067,SecureLife Insurance Policy,ICICI misled me about SecureLife Insurance Policy. Now facing hidden charges.,True,NEUTRAL,0.5,Hidden Charges,ICICI misled me about SecureLife Insurance Policy. Now facing hidden charges. [hidden charge]
rev_0068,SecureLife Insurance Policy,Avoid SecureLife Insurance Policy from SBI! They have hidden charges.,True,NEUTRAL,0.5,Hidden Charges,Avoid SecureLife Insurance Policy from SBI! They have hidden charges. [hidden charge]
rev_0069,MaxReturns Fixed Deposit,HDFC misled me about MaxReturns Fixed Deposit. Now facing difficult claims.,False,NEUTRAL,0.5,None,HDFC misled me about MaxReturns Fixed Deposit. Now facing difficult claims.
rev_0070,MaxReturns Fixed Deposit,Terrible experience with MaxReturns Fixed Deposit. Difficult Claims.,False,NEUTRAL,0.5,None,Terrible experience with MaxReturns Fixed Deposit. Difficult Claims.
rev_0071,MaxReturns Fixed Deposit,Terrible experience with MaxReturns Fixed Deposit. Agent Misconduct.,False,NEUTRAL,0.5,None,Terrible experience with MaxReturns Fixed Deposit. Agent Misconduct.
rev_0072,SecureLife Insurance Policy,Avoid SecureLife Insurance Policy from SBI! They have hidden charges.,True,NEUTRAL,0.5,Hidden Charges,Avoid SecureLife Insurance Policy from SBI! They have hidden charges. [hidden charge]
rev_0073,MaxReturns Fixed Deposit,Terrible experience with MaxReturns Fixed Deposit. Hidden Charges.,False,NEUTRAL,0.5,Hidden Charges,Terrible experience with MaxReturns Fixed Deposit. Hidden Charges. [hidden charge]
rev_0074,MaxReturns Fixed Deposit,Happy with my MaxReturns Fixed Deposit from SBI. Returns are as promised.,True,NEUTRAL,0.5,None,Happy with my MaxReturns Fixed Deposit from SBI. Returns are as promised.
rev_0075,MaxReturns Fixed Deposit,Avoid MaxReturns Fixed Deposit from SBI! They have hidden charges.,False,NEUTRAL,0.5,Hidden Charges,Avoid MaxReturns Fixed Deposit from SBI! They have hidden charges. [hidden charge]
rev_0076,SecureLife Insurance Policy,SBI misled me about SecureLife Insurance Policy. Now facing hidden charges.,True,NEUTRAL,0.5,Hidden Charges,SBI misled me about SecureLife Insurance Policy. Now facing hidden charges. [hidden charge]
rev_0077,WealthBuilder Pension Plan,"Mixed feelings about WealthBuilder Pension Plan. Some good, some bad.",False,NEUTRAL,0.5,None,"Mixed feelings about WealthBuilder Pension Plan. Some good, some bad."
rev_0078,MaxReturns Fixed Deposit,Kotak's MaxReturns Fixed Deposit gave me good returns this quarter.,True,NEUTRAL,0.5,None,Kotak's MaxReturns Fixed Deposit gave me good returns this quarter.
rev_0079,EasyInvest Savings Account,ICICI's EasyInvest Savings Account gave me good returns this quarter.,False,NEUTRAL,0.5,None,ICICI's EasyInvest Savings Account gave me good returns this quarter.
rev_0080,SecureLife Insurance Policy,Avoid SecureLife Insurance Policy from ICICI! They have hidden charges.,True,NEUTRAL,0.5,Hidden Charges,Avoid SecureLife Insurance Policy from ICICI! They have hidden charges. [hidden charge]
rev_0081,Alpha Growth Mutual Fund,Axis misled me about Alpha Growth Mutual Fund. Now facing long processing time.,False,NEUTRAL,0.5,None,Axis misled me about Alpha Growth Mutual Fund. Now facing long processing time.
rev_0082,SecureLife Insurance Policy,Avoid SecureLife Insurance Policy from Kotak! They have hidden charges.,True,NEUTRAL,0.5,Hidden Charges,Avoid SecureLife Insurance Policy from Kotak! They have hidden charges. [hidden charge]
rev_0083,SecureLife Insurance Policy,Avoid SecureLife Insurance Policy from SBI! They have hidden charges.,True,NEUTRAL,0.5,Hidden Charges,Avoid SecureLife Insurance Policy from SBI! They have hidden charges. [hidden charge]
rev_0084,MaxReturns Fixed Deposit,Avoid MaxReturns Fixed Deposit from Axis! They have misleading information.,False,NEUTRAL,0.5,None,Avoid MaxReturns Fixed Deposit from Axis! They have misleading information.
rev_0085,SecureLife Insurance Policy,Avoid SecureLife Insurance Policy from Axis! They have hidden charges.,True,NEUTRAL,0.5,Hidden Charges,Avoid SecureLife Insurance Policy from Axis! They have hidden charges. [hidden charge]
rev_0086,MaxReturns Fixed Deposit,Terrible experience with MaxReturns Fixed Deposit. Misleading Information.,False,NEUTRAL,0.5,None,Terrible experience with MaxReturns Fixed Deposit. Misleading Information.
rev_0087,WealthBuilder Pension Plan,Avoid WealthBuilder Pension Plan from Axis! They have misleading information.,False,NEUTRAL,0.5,None,Avoid WealthBuilder Pension Plan from Axis! They have misleading information.
rev_0088,MaxReturns Fixed Deposit,Avoid MaxReturns Fixed Deposit from SBI! They have difficult claims.,False,NEUTRAL,0.5,None,Avoid MaxReturns Fixed Deposit from SBI! They have difficult claims.
rev_0089,MaxReturns Fixed Deposit,Terrible experience with MaxReturns Fixed Deposit. Long Processing Time.,False,NEUTRAL,0.5,None,Terrible experience with MaxReturns Fixed Deposit. Long Processing Time.
rev_0090,MaxReturns Fixed Deposit,ICICI's MaxReturns Fixed Deposit gave me good returns this quarter.,False,NEUTRAL,0.5,None,ICICI's MaxReturns Fixed Deposit gave me good returns this quarter.
rev_0091,WealthBuilder Pension Plan,Terrible experience with WealthBuilder Pension Plan. Misleading Information.,False,NEUTRAL,0.5,None,Terrible experience with WealthBuilder Pension Plan. Misleading Information.
rev_0092,EasyInvest Savings Account,"Mixed feelings about EasyInvest Savings Account. Some good, some bad.",False,NEUTRAL,0.5,None,"Mixed feelings about EasyInvest Savings Account. Some good, some bad."
rev_0093,SecureLife Insurance Policy,Terrible experience with SecureLife Insurance Policy. Hidden Charges.,True,NEUTRAL,0.5,Hidden Charges,Terrible experience with SecureLife Insurance Policy. Hidden Charges. [hidden charge]
rev_0094,EasyInvest Savings Account,Happy with my EasyInvest Savings Account from Axis. Returns are as promised.,True,NEUTRAL,0.5,None,Happy with my EasyInvest Savings Account from Axis. Returns are as promised.
rev_0095,MaxReturns Fixed Deposit,HDFC misled me about MaxReturns Fixed Deposit. Now facing poor returns.,False,NEUTRAL,0.5,Poor Returns,HDFC misled me about MaxReturns Fixed Deposit. Now facing poor returns.
rev_0096,EasyInvest Savings Account,Terrible experience with EasyInvest Savings Account. Hidden Charges.,False,NEUTRAL,0.5,Hidden Charges,Terrible experience with EasyInvest Savings Account. Hidden Charges. [hidden charge]
rev_0097,SecureLife Insurance Policy,HDFC misled me about SecureLife Insurance Policy. Now facing hidden charges.,True,NEUTRAL,0.5,Hidden Charges,HDFC misled me about SecureLife Insurance Policy. Now facing hidden charges. [hidden charge]
rev_0098,SecureLife Insurance Policy,Avoid SecureLife Insurance Policy from SBI! They have hidden charges.,True,NEUTRAL,0.5,Hidden Charges,Avoid SecureLife Insurance Policy from SBI! They have hidden charges. [hidden charge]
rev_0099,SecureLife Insurance Policy,Terrible experience with SecureLife Insurance Policy. Hidden Charges.,True,NEUTRAL,0.5,Hidden Charges,Terrible experience with SecureLife Insurance Policy. Hidden Charges. [hidden charge]
rev_0100,WealthBuilder Pension Plan,Avoid WealthBuilder Pension Plan from Kotak! They have hidden charges.,True,NEUTRAL,0.5,Hidden Charges,Avoid WealthBuilder Pension Plan from Kotak! They have hidden charges. [hidden charge]
rev_0101,SecureLife Insurance Policy,ICICI misled me about SecureLife Insurance Policy. Now facing hidden charges.,True,NEUTRAL,0.5,Hidden Charges,ICICI misled me about SecureLife Insurance Policy. Now facing hidden charges. [hidden charge]
rev_0102,MaxReturns Fixed Deposit,Not sure about MaxReturns Fixed Deposit. Need to wait and watch.,True,NEUTRAL,0.5,None,Not sure about MaxReturns Fixed Deposit. Need to wait and watch.
rev_0103,SecureLife Insurance Policy,Terrible experience with SecureLife Insurance Policy. Hidden Charges.,True,NEUTRAL,0.5,Hidden Charges,Terrible experience with SecureLife Insurance Policy. Hidden Charges. [hidden charge]
rev_0104,WealthBuilder Pension Plan,HDFC misled me about WealthBuilder Pension Plan. Now facing misleading information.,False,NEUTRAL,0.5,None,HDFC misled me about WealthBuilder Pension Plan. Now facing misleading information.
rev_0105,EasyInvest Savings Account,Axis misled me about EasyInvest Savings Account. Now facing agent misconduct.,False,NEUTRAL,0.5,None,Axis misled me about EasyInvest Savings Account. Now facing agent misconduct.
rev_0106,Alpha Growth Mutual Fund,No complaints about Alpha Growth Mutual Fund. Service was excellent.,True,NEUTRAL,0.5,None,No complaints about Alpha Growth Mutual Fund. Service was excellent.
rev_0107,MaxReturns Fixed Deposit,Happy with my MaxReturns Fixed Deposit from Kotak. Returns are as promised.,True,NEUTRAL,0.5,None,Happy with my MaxReturns Fixed Deposit from Kotak. Returns are as promised.
rev_0108,Alpha Growth Mutual Fund,Avoid Alpha Growth Mutual Fund from HDFC! They have misleading information.,False,NEUTRAL,0.5,None,Avoid Alpha Growth Mutual Fund from HDFC! They have misleading information.
rev_0109,MaxReturns Fixed Deposit,Terrible experience with MaxReturns Fixed Deposit. Agent Misconduct.,False,NEUTRAL,0.5,None,Terrible experience with MaxReturns Fixed Deposit. Agent Misconduct.
rev_0110,Alpha Growth Mutual Fund,Alpha Growth Mutual Fund from HDFC is okay. Nothing special.,True,NEUTRAL,0.5,None,Alpha Growth Mutual Fund from HDFC is okay. Nothing special.
rev_0111,MaxReturns Fixed Deposit,Not sure about MaxReturns Fixed Deposit. Need to wait and watch.,True,NEUTRAL,0.5,None,Not sure about MaxReturns Fixed Deposit. Need to wait and watch.
rev_0112,WealthBuilder Pension Plan,Terrible experience with WealthBuilder Pension Plan. Poor Returns.,False,NEUTRAL,0.5,Poor Returns,Terrible experience with WealthBuilder Pension Plan. Poor Returns.
rev_0113,EasyInvest Savings Account,"Mixed feelings about EasyInvest Savings Account. Some good, some bad.",False,NEUTRAL,0.5,None,"Mixed feelings about EasyInvest Savings Account. Some good, some bad."
rev_0114,SecureLife Insurance Policy,Terrible experience with SecureLife Insurance Policy. Hidden Charges.,True,NEUTRAL,0.5,Hidden Charges,Terrible experience with SecureLife Insurance Policy. Hidden Charges. [hidden charge]
rev_0115,EasyInvest Savings Account,Avoid EasyInvest Savings Account from SBI! They have misleading information.,False,NEUTRAL,0.5,None,Avoid EasyInvest Savings Account from SBI! They have misleading information.
rev_0116,MaxReturns Fixed Deposit,Terrible experience with MaxReturns Fixed Deposit. Agent Misconduct.,False,NEUTRAL,0.5,None,Terrible experience with MaxReturns Fixed Deposit. Agent Misconduct.
rev_0117,SecureLife Insurance Policy,Terrible experience with SecureLife Insurance Policy. Hidden Charges.,True,NEUTRAL,0.5,Hidden Charges,Terrible experience with SecureLife Insurance Policy. Hidden Charges. [hidden charge]
rev_0118,EasyInvest Savings Account,Kotak misled me about EasyInvest Savings Account. Now facing long processing time.,True,NEUTRAL,0.5,None,Kotak misled me about EasyInvest Savings Account. Now facing long processing time.
rev_0119,SecureLife Insurance Policy,Terrible experience with SecureLife Insurance Policy. Hidden Charges.,True,NEUTRAL,0.5,Hidden Charges,Terrible experience with SecureLife Insurance Policy. Hidden Charges. [hidden charge]
rev_0120,SecureLife Insurance Policy,Avoid SecureLife Insurance Policy from HDFC! They have hidden charges.,True,NEUTRAL,0.5,Hidden Charges,Avoid SecureLife Insurance Policy from HDFC! They have hidden charges. [hidden charge]
rev_0121,WealthBuilder Pension Plan,No complaints about WealthBuilder Pension Plan. Service was excellent.,True,NEUTRAL,0.5,None,No complaints about WealthBuilder Pension Plan. Service was excellent.
rev_0122,MaxReturns Fixed Deposit,Happy with my MaxReturns Fixed Deposit from HDFC. Returns are as promised.,True,NEUTRAL,0.5,None,Happy with my MaxReturns Fixed Deposit from HDFC. Returns are as promised.
rev_0123,EasyInvest Savings Account,ICICI's EasyInvest Savings Account gave me good returns this quarter.,False,NEUTRAL,0.5,None,ICICI's EasyInvest Savings Account gave me good returns this quarter.
rev_0124,MaxReturns Fixed Deposit,Happy with my MaxReturns Fixed Deposit from HDFC. Returns are as promised.,True,NEUTRAL,0.5,None,Happy with my MaxReturns Fixed Deposit from HDFC. Returns are as promised.
rev_0125,Alpha Growth Mutual Fund,Terrible experience with Alpha Growth Mutual Fund. Hidden Charges.,False,NEUTRAL,0.5,Hidden Charges,Terrible experience with Alpha Growth Mutual Fund. Hidden Charges. [hidden charge]
rev_0126,Alpha Growth Mutual Fund,Terrible experience with Alpha Growth Mutual Fund. Long Processing Time.,False,NEUTRAL,0.5,None,Terrible experience with Alpha Growth Mutual Fund. Long Processing Time.
rev_0127,MaxReturns Fixed Deposit,Avoid MaxReturns Fixed Deposit from Axis! They have long processing time.,False,NEUTRAL,0.5,None,Avoid MaxReturns Fixed Deposit from Axis! They have long processing time.
rev_0128,EasyInvest Savings Account,ICICI's EasyInvest Savings Account gave me good returns this quarter.,False,NEUTRAL,0.5,None,ICICI's EasyInvest Savings Account gave me good returns this quarter.
rev_0129,SecureLife Insurance Policy,HDFC misled me about SecureLife Insurance Policy. Now facing hidden charges.,True,NEUTRAL,0.5,Hidden Charges,HDFC misled me about SecureLife Insurance Policy. Now facing hidden charges. [hidden charge]
rev_0130,MaxReturns Fixed Deposit,No complaints about MaxReturns Fixed Deposit. Service was excellent.,True,NEUTRAL,0.5,None,No complaints about MaxReturns Fixed Deposit. Service was excellent.
rev_0131,MaxReturns Fixed Deposit,HDFC's MaxReturns Fixed Deposit gave me good returns this quarter.,False,NEUTRAL,0.5,None,HDFC's MaxReturns Fixed Deposit gave me good returns this quarter.
rev_0132,WealthBuilder Pension Plan,Kotak misled me about WealthBuilder Pension Plan. Now facing bad service.,True,NEUTRAL,0.5,Service Issues,Kotak misled me about WealthBuilder Pension Plan. Now facing bad service. [bad service]
rev_0133,MaxReturns Fixed Deposit,MaxReturns Fixed Deposit from Kotak is okay. Nothing special.,True,NEUTRAL,0.5,None,MaxReturns Fixed Deposit from Kotak is okay. Nothing special.
rev_0134,EasyInvest Savings Account,"Mixed feelings about EasyInvest Savings Account. Some good, some bad.",False,NEUTRAL,0.5,None,"Mixed feelings about EasyInvest Savings Account. Some good, some bad."
rev_0135,EasyInvest Savings Account,Terrible experience with EasyInvest Savings Account. Poor Returns.,False,NEUTRAL,0.5,Poor Returns,Terrible experience with EasyInvest Savings Account. Poor Returns.
rev_0136,EasyInvest Savings Account,Not sure about EasyInvest Savings Account. Need to wait and watch.,True,NEUTRAL,0.5,None,Not sure about EasyInvest Savings Account. Need to wait and watch.
rev_0137,SecureLife Insurance Policy,Terrible experience with SecureLife Insurance Policy. Hidden Charges.,True,NEUTRAL,0.5,Hidden Charges,Terrible experience with SecureLife Insurance Policy. Hidden Charges. [hidden charge]
rev_0138,WealthBuilder Pension Plan,"Mixed feelings about WealthBuilder Pension Plan. Some good, some bad.",False,NEUTRAL,0.5,None,"Mixed feelings about WealthBuilder Pension Plan. Some good, some bad."
